1234	4	139
1235	2	30
1236	2	30
1237	2	30
1238	2	30
1239	4	139
1240	6	79
1241	2	30
1242	4	139
1243	5	34
1244	1	10
1245	5	34
1246	1	10
1247	2	30
1248	4	139
1249	1	10
1250	1	10
1251	2	30
1252	3	125
1253	6	79
1254	1	10
1255	1	10
1256	2	30
1257	4	139
1258	3	125
1259	5	34
1260	4	139
1261	5	34
1262	2	30
1263	3	125
1264	3	125
1265	4	139
1266	5	34
1267	3	125
1268	2	30
1269	5	34
1270	4	139
1271	3	125
1272	4	139
1273	4	139
1274	2	30
1275	5	34
1276	4	139
1277	5	34
1278	6	79
1279	1	10
1280	6	79
1281	5	34
1282	1	10
1283	5	34
1284	4	139
1285	4	139
1286	6	79
1287	4	139
1288	2	30
1289	3	125
1290	5	34
1291	4	139
1292	5	34
1293	3	125
1294	2	30
1295	5	34
1296	3	125
1297	1	10
1298	5	34
1299	4	139
1300	1	10
1301	1	10
1302	2	30
1303	1	10
1304	1	10
1305	1	10
1306	3	125
1307	1	10
1308	3	125
1309	2	30
1310	5	34
1311	6	79
1312	5	34
1313	1	10
1314	1	10
1315	5	34
1316	6	79
1317	5	34
1318	3	125
1319	4	139
1320	3	125
1321	1	10
1322	3	125
1323	2	30
1324	6	79
1325	4	139
1326	1	10
1327	2	30
1328	3	125
1329	3	125
1330	6	79
1331	4	139
1332	6	79
1333	1	10
1334	3	125
1335	2	30
1336	3	125
1337	1	10
1338	6	79
1339	3	125
1340	6	79
1341	5	34
1342	4	139
1343	6	79
1344	2	30
1345	4	139
1346	2	30
1347	6	79
1348	4	139
1349	5	34
1350	5	34
1351	5	34
1352	2	30
1353	1	10
1354	2	30
1355	4	139
1356	2	30
1357	3	125
1358	4	139
1359	6	79
1360	2	30
1361	4	139
1362	3	125
1363	1	10
1364	4	139
1365	1	10
1366	6	79
1367	4	139
1368	6	79
1369	1	10
1370	4	139
1371	6	79
1372	5	34
1373	6	79
1374	3	125
1375	3	125
1376	4	139
1377	6	79
1378	4	139
1379	6	79
1380	6	79
1381	4	139
1382	3	125
1383	2	30
1384	6	79
1385	4	139
1386	4	139
1387	2	30
1388	2	30
1389	3	125
1390	5	34
1391	5	34
1392	5	34
1393	4	139
1394	6	79
1395	1	10
1396	6	79
1397	6	79
1398	3	125
1399	3	125
1400	3	125
1401	2	30
1402	3	125
1403	4	139
1404	2	30
1405	5	34
1406	5	34
1407	5	34
1408	5	34
1409	6	79
1410	4	139
1411	3	125
1412	1	10
1413	6	79
1414	6	79
1415	2	30
1416	1	10
1417	3	125
1418	3	125
1419	3	125
1420	4	139
1421	3	125
1422	3	125
1423	5	34
1424	6	79
1425	6	79
1426	2	30
1427	2	30
1428	2	30
1429	2	30
1430	5	34
1431	5	34
1432	1	10
1433	5	34
1434	4	139
1435	2	30
1436	5	34
1437	4	139
1438	6	79
1439	2	30
1440	5	34
1441	1	10
1442	2	30
1443	4	139
1444	2	30
1445	2	30
1446	5	34
1447	3	125
1448	2	30
1449	1	10
1450	1	10
1451	5	34
1452	6	79
1453	2	30
1454	3	125
1455	2	30
1456	2	30
1457	6	79
1458	5	34
1459	4	139
1460	5	34
1461	4	139
1462	4	139
1463	4	139
1464	2	30
1465	4	139
1466	3	125
1467	3	125
1468	6	79
1469	2	30
1470	5	34
1471	3	125
1472	1	10
1473	5	34
1474	4	139
1475	5	34
1476	6	79
1477	2	30
1478	1	10
1479	4	139
1480	1	10
1481	2	30
1482	4	139
1483	1	10
1484	2	30
1485	2	30
1486	3	125
1487	3	125
1488	1	10
1489	6	79
1490	2	30
1491	2	30
1492	5	34
1493	5	34
1494	3	125
1495	2	30
1496	5	34
1497	4	139
1498	5	34
1499	1	10
1500	4	139
1501	6	79
1502	5	34
1503	6	79
1504	6	79
1505	1	10
1506	2	30
1507	2	30
1508	1	10
1509	2	30
1510	5	34
1511	2	30
1512	6	79
1513	4	139
1514	6	79
1515	1	10
1516	1	10
1517	2	30
1518	5	34
1519	6	79
1520	2	30
1521	1	10
1522	2	30
1523	6	79
1524	6	79
1525	6	79
1526	3	125
1527	2	30
1528	6	79
1529	2	30
1530	3	125
1531	5	34
1532	6	79
1533	5	34
1534	2	30
1535	3	125
1536	4	139
1537	5	34
1538	1	10
1539	1	10
1540	2	30
1541	5	34
1542	1	10
1543	5	34
1544	4	139
1545	6	79
1546	6	79
1547	6	79
1548	5	34
1549	5	34
1550	3	125
1551	5	34
1552	4	139
1553	4	139
1554	1	10
1555	3	125
1556	6	79
1557	3	125
1558	5	34
1559	3	125
1560	2	30
1561	6	79
1562	6	79
1563	2	30
1564	5	34
1565	1	10
1566	2	30
1567	2	30
1568	4	139
1569	4	139
1570	4	139
1571	4	139
1572	3	125
1573	1	10
1574	3	125
1575	6	79
1576	6	79
1577	1	10
1578	1	10
1579	3	125
1580	6	79
1581	2	30
1582	3	125
1583	1	10
1584	3	125
1585	4	139
1586	3	125
1587	4	139
1588	6	79
1589	3	125
1590	5	34
1591	6	79
1592	1	10
1593	6	79
1594	1	10
1595	4	139
1596	1	10
1597	2	30
1598	2	30
1599	3	125
1600	2	30
1601	6	79
1602	4	139
1603	5	34
1604	3	125
1605	6	79
1606	6	79
1607	2	30
1608	1	10
1609	1	10
1610	5	34
1611	3	125
1612	2	30
1613	4	139
1614	4	139
1615	4	139
1616	4	139
1617	5	34
1618	2	30
1619	3	125
1620	2	30
1621	5	34
1622	3	125
1623	5	34
1624	5	34
