2136	6	79	3	18.00
3061	6	79	2	14.90
2449	1	10	2	16.20
1861	3	125	3	14.50
2546	5	34	1	14.60
1334	3	125	2	12.50
2349	6	79	1	19.40
1960	5	34	3	11.20
1342	4	139	3	12.40
2667	2	30	2	17.00
2028	2	30	1	17.50
1261	5	34	2	11.10
1567	2	30	1	16.10
3212	1	10	3	15.60
1592	1	10	1	14.60
2066	1	10	2	16.40
2421	2	30	3	17.60
2820	1	10	2	16.60
2441	2	30	3	15.60
1404	2	30	2	12.20
2806	4	139	2	16.10
2071	6	79	3	15.70
1306	3	125	2	14.40
2373	1	10	1	15.00
1371	6	79	2	17.60
2799	6	79	1	16.30
3100	1	10	3	14.10
2370	6	79	3	11.40
1262	2	30	3	11.40
1641	5	34	3	12.30
2144	6	79	1	18.10
3073	5	34	2	13.40
1318	3	125	2	17.50
2280	5	34	2	19.80
1674	5	34	3	13.10
2692	5	34	2	15.20
3006	4	139	1	12.70
2330	5	34	3	15.70
2687	3	125	2	17.00
1722	5	34	1	15.70
2158	2	30	2	11.90
1726	5	34	3	11.60
1736	4	139	3	14.60
3002	1	10	3	14.00
1745	5	34	2	15.40
1452	6	79	1	14.50
3190	6	79	2	16.80
1746	5	34	1	14.10
2826	6	79	2	16.20
1478	1	10	3	16.70
2566	2	30	2	15.90
2316	4	139	2	16.90
1408	5	34	1	17.90
2737	6	79	2	19.10
2741	3	125	2	18.50
2939	3	125	3	19.20
1257	4	139	2	18.60
3098	4	139	2	18.30
1931	5	34	1	17.80
2386	3	125	1	19.50
2224	1	10	2	11.50
2222	3	125	3	12.30
2163	3	125	2	18.90
1903	4	139	2	18.70
2918	4	139	3	12.80
2418	3	125	2	16.10
1235	2	30	3	14.00
1335	2	30	3	11.00
2745	1	10	2	15.70
1776	4	139	1	13.60
1787	1	10	3	15.20
2462	3	125	3	13.90
3184	1	10	3	15.40
2768	5	34	2	15.80
1455	2	30	2	14.50
1864	4	139	3	18.10
2793	1	10	2	19.50
3163	4	139	2	11.10
1856	3	125	1	13.60
3156	3	125	2	13.90
1369	1	10	3	18.10
2997	1	10	2	17.80
1497	4	139	1	17.70
3072	2	30	3	12.60
2364	4	139	3	14.60
2838	5	34	1	16.00
1973	6	79	1	16.10
2506	2	30	2	18.90
2523	3	125	3	13.60
2530	5	34	2	15.70
2036	5	34	1	19.50
2499	2	30	2	14.90
3066	6	79	3	15.00
1364	4	139	3	13.80
2162	6	79	3	17.30
2460	5	34	3	19.50
1642	1	10	2	12.50
3015	6	79	2	15.50
1295	5	34	3	16.00
2618	1	10	1	13.50
1663	5	34	1	13.10
3045	1	10	1	14.10
1763	4	139	3	17.60
1667	6	79	3	12.90
2287	5	34	2	15.10
3187	5	34	3	16.10
2516	4	139	2	17.50
1298	5	34	3	13.60
1971	2	30	1	16.90
2819	5	34	3	14.50
2120	5	34	1	19.00
1453	2	30	3	16.10
1465	4	139	3	12.60
2500	5	34	1	17.30
1474	4	139	1	13.70
2292	1	10	3	14.00
2094	3	125	2	17.20
2093	4	139	3	13.60
2347	4	139	1	12.10
2632	5	34	2	18.40
1527	2	30	2	13.90
1951	5	34	1	12.20
3137	5	34	3	18.80
3111	6	79	3	17.20
1283	5	34	2	18.50
2614	3	125	3	16.10
1581	2	30	3	19.20
1248	4	139	3	11.90
2206	3	125	3	17.90
1907	2	30	2	14.60
2234	5	34	2	11.40
2778	1	10	3	14.30
1819	5	34	3	14.20
1260	4	139	2	14.30
2239	1	10	2	17.50
3209	1	10	1	14.20
3234	0	0	0	0.00
1952	4	139	1	13.80
3139	4	139	1	14.20
1801	6	79	1	15.60
2356	5	34	3	15.30
3136	1	10	1	18.90
2034	1	10	3	19.00
2065	4	139	2	12.00
3147	6	79	1	19.30
2588	4	139	3	15.50
2752	3	125	3	16.00
2857	1	10	3	14.40
2178	4	139	1	18.20
2031	6	79	1	14.90
2266	4	139	1	16.80
1686	2	30	1	15.10
1500	4	139	3	18.00
2704	3	125	3	11.70
1317	5	34	2	11.90
2960	6	79	2	19.80
2502	4	139	3	14.80
1488	1	10	1	16.00
2175	1	10	1	13.60
3192	4	139	3	13.50
2331	5	34	3	14.20
2645	6	79	2	17.80
2368	5	34	1	12.30
2107	1	10	2	16.50
2482	4	139	2	13.90
1969	6	79	2	14.00
2470	1	10	3	16.60
2340	5	34	3	18.10
1920	2	30	2	19.80
2425	6	79	2	13.80
1619	3	125	1	17.80
1610	5	34	2	14.70
1234	4	139	1	13.40
1246	1	10	1	19.20
2396	2	30	1	12.20
2264	5	34	1	18.90
3047	1	10	2	18.60
1539	1	10	3	17.10
2288	5	34	1	17.10
1923	6	79	1	13.00
1850	2	30	2	11.90
1463	4	139	2	13.10
1845	5	34	1	13.20
2021	4	139	3	14.20
2140	4	139	3	15.70
1909	1	10	2	12.80
1420	4	139	3	12.50
1473	5	34	3	16.10
2009	1	10	3	16.00
2427	6	79	2	13.70
2882	6	79	3	19.60
2429	2	30	3	17.60
1578	1	10	3	15.60
2626	6	79	3	13.20
2339	3	125	2	11.30
1568	4	139	3	14.50
1338	6	79	1	19.70
2295	6	79	2	16.70
2581	2	30	3	16.70
1939	1	10	3	13.50
1662	1	10	1	12.50
2852	6	79	3	19.00
1888	3	125	1	11.90
2972	3	125	2	19.60
2141	4	139	2	16.10
2984	2	30	2	18.80
1555	3	125	2	13.00
1906	4	139	3	15.40
2605	3	125	1	12.10
2590	6	79	2	17.40
2360	4	139	1	14.20
1815	1	10	3	13.10
2200	6	79	3	13.80
2837	2	30	2	16.70
2709	2	30	1	13.60
2784	1	10	1	16.40
1719	4	139	3	19.40
3089	1	10	3	19.20
2957	5	34	3	19.50
